transaction_id,customer_id,card_number,timestamp,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour,is_fraud
TX_30a88e5f,CUST_19539,378472184413404,2024-10-07 13:14:15.792999+00:00,Education,online,Coursera,382.2,CAD,Canada,Unknown City,medium,Basic Credit,False,Firefox,web,afdcc9de638aa7943ec44ba4fa7f896e,108.63.87.92,0,False,13,False,"{'num_transactions': 1401, 'total_amount': 21444233.474323448, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1955954.0854877753}",False
TX_2ab4845c,CUST_79480,377071237100363,2024-10-04 00:19:26.312436+00:00,Healthcare,pharmacy,DuaneReade,32363.15,RUB,Russia,Unknown City,medium,Gold Credit,False,Chrome,web,314ae7147256440c588847f3f0fbb6ec,13.46.146.19,1,False,0,False,"{'num_transactions': 430, 'total_amount': 18818240.493153173, 'unique_merchants': 99, 'unique_countries': 12, 'max_single_amount': 1999314.7808617796}",False
TX_d236dd77,CUST_17519,5822505716878304,2024-10-08 11:47:46.213165+00:00,Restaurant,premium,Morton's,396.46,CAD,Canada,Unknown City,medium,Basic Credit,False,Chrome,web,afc5ac3956bf5a7a3053952f91360bfd,91.232.132.167,0,False,11,False,"{'num_transactions': 903, 'total_amount': 22535002.818699397, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2037624.53565273}",False
TX_6ded596e,CUST_49123,374500965318147,2024-10-14 06:10:07.793075+00:00,Restaurant,premium,Capital Grille,9936.69,BRL,Brazil,Unknown City,medium,Platinum Credit,False,iOS App,mobile,d26f85f8391a4966706b6748c816979f,208.30.227.85,1,False,6,False,"{'num_transactions': 843, 'total_amount': 62252836.82549512, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 1808109.5920555955}",True
TX_26f42921,CUST_59083,4265723850751065,2024-10-12 11:05:47.031478+00:00,Travel,transport,Hertz,138432.54,NGN,Nigeria,Unknown City,medium,Premium Debit,False,Android App,mobile,2fecff16ced91d176a4104c93f83db57,187.76.106.222,0,True,11,True,"{'num_transactions': 848, 'total_amount': 149164375.862468, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 5453215.267064123}",False
TX_77faac08,CUST_36857,6842885522294662,2024-10-21 03:16:08.622459+00:00,Travel,transport,Careem,17483.46,RUB,Russia,Unknown City,medium,Gold Credit,True,Magnetic Stripe,pos,4e142120fad7d5d6bf02d430884d2f6d,57.172.41.160,1,True,3,False,"{'num_transactions': 69, 'total_amount': 1253281.4920905333, 'unique_merchants': 50, 'unique_countries': 9, 'max_single_amount': 918757.1295159372}",True
TX_123d586b,CUST_75876,5645540084696165,2024-10-06 19:54:59.529436+00:00,Entertainment,events,AMC Theaters,879.83,USD,USA,San Diego,medium,Platinum Credit,False,iOS App,mobile,a0ba8e03a0ba863944c796894b26ee74,176.77.244.228,0,True,19,True,"{'num_transactions': 1029, 'total_amount': 29711075.477270193, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2208285.119195444}",False
TX_c9cafa3e,CUST_38870,4775711613413530,2024-10-11 20:58:56.157311+00:00,Grocery,physical,Aldi,1132.36,EUR,Germany,Unknown City,medium,Platinum Credit,True,Magnetic Stripe,pos,75240d15bdd0cec5ebacbad35c3bcfdb,73.210.48.20,1,False,20,False,"{'num_transactions': 494, 'total_amount': 19503084.63998629, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 5019239.920314192}",True
TX_072027fd,CUST_21284,373122929244375,2024-10-04 21:31:24.241335+00:00,Entertainment,events,Regal Cinemas,13.76,BRL,Brazil,Unknown City,medium,Platinum Credit,True,NFC Payment,pos,b200d9e61c659fab23be06c801f42486,194.179.26.27,0,True,21,False,"{'num_transactions': 1434, 'total_amount': 57978374.884896375, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3449691.1493855654}",True
TX_483eca43,CUST_74066,6436268943386015,2024-10-19 13:33:50.383079+00:00,Grocery,physical,Kroger,393.89,EUR,France,Unknown City,medium,Gold Credit,False,Chrome,web,98067a5cabd18813561c1c3354d36238,82.100.47.159,0,False,13,True,"{'num_transactions': 444, 'total_amount': 16722792.221244376, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 3659040.9525133693}",False
